time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-16T04:30:36.000Z,18.08,-64.9915,6,3.1,Md,13,118.8,0.27129122,0.27,pr,pr15136002,2015-05-16T12:33:11.144Z,"29km SSW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-05-16T03:39:26.500Z,27.638,85.705,10,4.8,mb,,79,5.879,0.61,us,us100029pb,2015-05-16T18:33:42.332Z,"18km E of Banepa, Nepal",earthquake
2015-05-16T03:30:38.100Z,19.0669,-66.6007,50,2.9,Md,5,316.8,0.58929483,0.09,pr,pr15136001,2015-05-16T11:33:04.679Z,"66km N of Arecibo, Puerto Rico",earthquake
2015-05-16T02:46:34.200Z,37.4744987,-118.7896652,6.56,3.24,ml,36,76,0.1195,0.05,nc,nc72450006,2015-05-17T02:54:16.434Z,"27km SE of Mammoth Lakes, California",earthquake
2015-05-16T02:46:20.900Z,18.8962,-68.2023,167,3.5,Md,13,334.8,1.11840253,0.31,pr,pr15136000,2015-05-16T10:48:55.043Z,"40km NNE of Punta Cana, Dominican Republic",earthquake
2015-05-16T02:33:07.120Z,39.4921684,-123.1116638,5.19,2.5,md,24,43,0.09015,0.05,nc,nc72449991,2015-05-16T10:35:33.834Z,"22km ENE of Willits, California",earthquake
2015-05-16T01:19:51.320Z,-7.8355,-74.347,150.33,5.1,mb,,108,4.802,0.74,us,us100029nb,2015-05-16T09:22:20.752Z,"64km NNE of Pucallpa, Peru",earthquake
2015-05-16T00:27:11.710Z,47.7575,-120.2086667,5.32,2.53,ml,12,76,0.1214,0.14,uw,uw61003747,2015-05-16T16:26:06.020Z,"9km N of Entiat, Washington",earthquake
2015-05-16T00:02:19.320Z,37.5687,-112.4225,5.95,2.6,ml,,42,0.529,0.86,us,us100029ms,2015-05-16T08:04:54.710Z,"28km S of Panguitch, Utah",earthquake
2015-05-15T22:42:43.660Z,45.2058333,-121.2686667,14.06,2.96,ml,21,48,0.04975,0.13,uw,uw61003707,2015-05-16T16:19:55.339Z,"43km S of The Dalles, Oregon",earthquake
2015-05-15T22:21:00.660Z,14.1508,-91.7893,67.21,4.9,mb,,135,1.193,0.86,us,us100029m8,2015-05-15T23:02:59.712Z,"21km SE of Champerico, Guatemala",earthquake
2015-05-15T21:37:24.000Z,18.9351,-66.5435,81,3.1,Md,7,277.2,0.61804092,0.31,pr,pr15135007,2015-05-16T05:40:01.921Z,"52km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2015-05-15T21:27:24.570Z,-27.9908,-66.1772,160.68,4.4,mb,,92,2.866,0.91,us,us100029lh,2015-05-16T05:30:03.662Z,"30km W of Los Varela, Argentina",earthquake
2015-05-15T21:15:13.390Z,31.0869,67.8769,20.97,4.1,mb,,144,3.581,1.12,us,us100029la,2015-05-16T05:17:58.487Z,"40km NNE of Khadan Khak, Pakistan",earthquake
2015-05-15T21:14:05.000Z,63.4916,-147.4253,0,2.5,ml,,,,0.57,ak,ak11597617,2015-05-16T05:16:36.976Z,"76km E of Cantwell, Alaska",earthquake
2015-05-15T21:11:04.210Z,-5.5571,152.5805,10,4.9,mb,,97,1.419,1.09,us,us100029lc,2015-05-16T05:13:39.152Z,"130km SSW of Taron, Papua New Guinea",earthquake
2015-05-15T21:07:24.930Z,-15.7001,-75.4315,35,4.9,mb,,154,3.936,0.92,us,us100029kv,2015-05-16T05:09:56.280Z,"64km SSW of Minas de Marcona, Peru",earthquake
2015-05-15T20:52:23.550Z,19.3836667,-155.2796667,2.76,3,ml,29,44,0.003444,0.08,hv,hv60935226,2015-05-16T04:55:05.989Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T20:28:36.300Z,36.6266,-97.7076,4.396,2.5,ml,,71,,0.48,us,us100029lg,2015-05-16T04:31:10.006Z,"20km S of Medford, Oklahoma",earthquake
2015-05-15T20:26:55.800Z,-2.6472,102.1751,149.95,5.8,mb,,37,2.534,1.4,us,us100029k5,2015-05-17T04:56:35.000Z,"98km NNW of Curup, Indonesia",earthquake
2015-05-15T20:07:33.260Z,53.6934,-163.954,1,3.9,mb,,197,1.162,1.5,us,us100029jy,2015-05-16T04:10:02.764Z,"129km ESE of Akutan, Alaska",earthquake
2015-05-15T19:52:28.870Z,-18.3453,-69.5898,133.54,4.2,mb,,81,0.714,0.83,us,us100029jq,2015-05-16T03:55:02.335Z,"16km S of Putre, Chile",earthquake
2015-05-15T19:21:57.100Z,19.17,-66.5895,26,3.1,Md,8,295.2,0.69080445,0.25,pr,pr15135006,2015-05-16T03:24:40.738Z,"78km N of Arecibo, Puerto Rico",earthquake
2015-05-15T18:55:23.700Z,36.6232,-97.8772,5.99,2.5,ml,,52,,0.61,us,us100029jc,2015-05-16T02:57:52.983Z,"24km SSW of Medford, Oklahoma",earthquake
2015-05-15T18:37:02.530Z,19.393,-155.2763333,2.91,3.19,ml,30,42,0.003464,0.09,hv,hv60934801,2015-05-15T20:56:54.581Z,"5km SW of Volcano, Hawaii",earthquake
2015-05-15T18:02:08.900Z,36.5813,-97.601,3.874,2.8,ml,,66,,0.78,us,us100029j5,2015-05-16T02:04:39.854Z,"27km SSE of Medford, Oklahoma",earthquake
2015-05-15T17:04:06.470Z,19.3835,-155.2805,2.66,2.6,ml,29,45,0.003227,0.08,hv,hv60934556,2015-05-16T01:06:33.514Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T15:53:41.270Z,-7.2873,154.7305,48.15,4.6,mb,,209,3.997,0.92,us,us100029el,2015-05-15T23:56:15.066Z,"135km SW of Panguna, Papua New Guinea",earthquake
2015-05-15T15:40:26.470Z,-35.3893,-178.6256,50.14,5.1,mb,,252,3.288,1.44,us,us100029cg,2015-05-15T23:43:06.997Z,"East of the North Island of New Zealand",earthquake
2015-05-15T14:38:00.100Z,36.5494,-97.186,6.154,2.8,ml,,86,,0.29,us,us100029ch,2015-05-15T22:40:33.009Z,"18km SE of Tonkawa, Oklahoma",earthquake
2015-05-15T13:15:57.010Z,-52.9436,27.2963,10,5.3,mb,,52,21.081,0.94,us,us100029am,2015-05-15T21:18:39.536Z,"South of Africa",earthquake
2015-05-15T12:29:18.120Z,19.3923333,-155.2781667,2.74,2.88,ml,30,42,0.005229,0.09,hv,hv60933836,2015-05-15T20:31:49.329Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T11:50:55.600Z,18.8775,-64.1959,35,2.8,Md,6,324,0.19493442,0.11,pr,pr15135005,2015-05-15T19:53:26.279Z,"67km NE of Road Town, British Virgin Islands",earthquake
2015-05-15T10:56:40.590Z,30.9215,141.8157,10,4.7,mb,,122,2.77,0.81,us,us10002992,2015-05-15T18:59:12.577Z,"Izu Islands, Japan region",earthquake
2015-05-15T10:40:32.190Z,19.3866667,-155.278,2.81,2.52,ml,29,61,0.003509,0.08,hv,hv60933511,2015-05-15T19:37:52.217Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T10:30:37.860Z,-9.697,150.3528,32.4,5.5,mb,,37,3.162,1.01,us,us1000298z,2015-05-16T02:58:49.236Z,"70km N of Alotau, Papua New Guinea",earthquake
2015-05-15T10:21:36.880Z,-21.9832,-176.5318,161.43,5,mb,,43,6.613,1.26,us,us1000298m,2015-05-15T18:30:09.828Z,"162km WSW of Vaini, Tonga",earthquake
2015-05-15T10:02:39.080Z,40.3603333,-125.5496667,5.34,2.73,md,20,318,0.9679,0.2,nc,nc72449561,2015-05-16T02:09:05.654Z,"111km WSW of Ferndale, California",earthquake
2015-05-15T09:38:22.280Z,19.394,-155.279,2.55,2.5,ml,20,55,0.005237,0.05,hv,hv60933351,2015-05-15T17:40:53.361Z,"5km SW of Volcano, Hawaii",earthquake
2015-05-15T09:20:09.960Z,40.4013333,-124.5991667,20.28,2.81,md,42,233,0.2349,0.12,nc,nc72449541,2015-05-15T17:32:04.961Z,"34km SW of Ferndale, California",earthquake
2015-05-15T09:08:26.340Z,13.6545,-91.1705,35,4.7,mb,,136,1.684,1.31,us,us1000297y,2015-05-15T22:43:09.884Z,"47km SW of Puerto San Jose, Guatemala",earthquake
2015-05-15T08:39:24.000Z,62.3597,-154.2072,0,2.5,ml,,,,0.86,ak,ak11596890,2015-05-15T16:42:00.802Z,"97km SE of McGrath, Alaska",earthquake
2015-05-15T07:21:55.810Z,36.5316,-98.9734,5,2.8,mb_lg,,157,0.153,0.49,us,us1000297b,2015-05-15T13:57:42.454Z,"23km ENE of Mooreland, Oklahoma",earthquake
2015-05-15T06:35:01.670Z,-10.8127,164.4488,10,4.7,mb,,127,4.637,0.68,us,us10002979,2015-05-15T14:37:33.341Z,"151km W of Lata, Solomon Islands",earthquake
2015-05-15T06:05:24.140Z,-29.5387,-71.1993,52.14,4.6,mb,,155,0.682,0.58,us,us10002974,2015-05-16T02:03:27.040Z,"41km N of La Serena, Chile",earthquake
2015-05-15T06:02:26.860Z,-20.8614,-69.223,108.79,4.3,mb,,92,0.306,0.62,us,us1000296q,2015-05-15T14:05:00.522Z,"119km SE of Iquique, Chile",earthquake
2015-05-15T05:39:51.100Z,18.839,-67.2799,52,2.7,Md,8,306,0.40154693,0.27,pr,pr15135002,2015-05-15T13:42:23.459Z,"42km NNW of San Antonio, Puerto Rico",earthquake
2015-05-15T05:34:35.330Z,-41.7047,174.0819,10.4,4.5,mb,,66,0.108,0.41,us,us1000296i,2015-05-15T08:02:21.215Z,"23km SSE of Blenheim, New Zealand",earthquake
2015-05-15T05:29:54.910Z,36.3448,-96.8337,5,3.1,mb_lg,,46,0.2,0.59,us,us1000296h,2015-05-15T15:36:44.763Z,"2km WNW of Pawnee, Oklahoma",earthquake
2015-05-15T05:10:05.370Z,19.3876667,-155.2761667,2.94,2.7,ml,33,44,0.005358,0.07,hv,hv60932531,2015-05-15T14:53:30.226Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T04:51:31.200Z,19.4293,-65.82,86,3.6,Md,14,241.2,1.14086041,0.25,pr,pr15135000,2015-05-15T12:54:09.005Z,"110km N of Loiza, Puerto Rico",earthquake
2015-05-15T04:47:12.300Z,18.0743,-67.841,61,2.8,Md,6,327.6,0.72404212,0.21,pr,pr15135001,2015-05-15T12:49:44.050Z,"68km WSW of Stella, Puerto Rico",earthquake
2015-05-15T04:42:47.720Z,19.3838333,-155.279,2.78,2.69,ml,30,45,0.003712,0.08,hv,hv60932411,2015-05-15T12:45:54.261Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-15T03:42:44.680Z,-18.7396,-174.4858,71.42,4.8,mb,,43,4.328,1.11,us,us10002967,2015-05-15T04:05:28.400Z,"53km W of Neiafu, Tonga",earthquake
2015-05-15T03:30:34.610Z,37.017,141.2744,40.43,5.1,mb,,120,0.933,0.97,us,us10002964,2015-05-15T13:16:46.987Z,"34km E of Iwaki, Japan",earthquake
2015-05-15T02:54:41.360Z,55.0417,-158.5254,20.99,4.7,mb,,150,1.16,0.9,us,us1000295z,2015-05-15T10:57:19.967Z,"72km ENE of Chernabura Island, Alaska",earthquake
2015-05-15T01:42:42.910Z,27.8774,84.6841,10,4.9,mb,,52,1.884,1.21,us,us1000295r,2015-05-16T01:44:49.099Z,"32km NE of Bharatpur, Nepal",earthquake
2015-05-15T01:24:29.670Z,19.3886667,-155.2786667,2.7,2.65,ml,28,43,0.003576,0.09,hv,hv60932031,2015-05-15T09:27:01.746Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-14T23:57:56.860Z,37.4761667,-118.7881667,6.41,3.05,ml,41,66,0.05414,0.04,nc,nc72449371,2015-05-16T00:28:04.779Z,"25km SE of Mammoth Lakes, California",earthquake
2015-05-14T23:54:31.180Z,-5.5984,152.4017,10,5.1,mb,,39,1.418,0.9,us,us1000295d,2015-05-15T07:57:01.971Z,"138km S of Kokopo, Papua New Guinea",earthquake
2015-05-14T18:49:52.190Z,21.5925,143.098,289.87,4.4,mb,,104,5.541,0.62,us,us10002920,2015-05-15T02:52:20.625Z,"220km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-05-14T18:39:16.300Z,35.6682,-97.3154,3.727,3.2,ml,,52,,0.77,us,us1000291k,2015-05-15T16:26:25.999Z,"10km W of Luther, Oklahoma",earthquake
2015-05-14T18:33:32.090Z,-14.156,-75.5539,51.58,4.8,mb,,130,2.494,0.79,us,us1000291n,2015-05-14T21:07:27.830Z,"16km ESE of Los Aquijes, Peru",earthquake
2015-05-14T17:41:14.670Z,29.3928,-102.558,15.8,4,mb,,133,0.969,0.86,us,us1000290e,2015-05-15T01:43:55.616Z,"84km S of Sanderson, Texas",earthquake
2015-05-14T17:38:21.490Z,-5.9752,128.3002,368.34,5.1,mb,,19,3.582,0.77,us,us1000290b,2015-05-15T01:41:02.107Z,"249km S of Amahusu, Indonesia",earthquake
2015-05-14T17:09:23.850Z,-7.6508,117.2032,294.94,4.2,mb,,85,3.129,1.11,us,us100028zv,2015-05-15T01:12:06.734Z,"82km NW of Labuhankananga, Indonesia",earthquake
2015-05-14T17:08:10.400Z,18.0725,-67.31,9,2.5,Md,11,270,0.2353586,0.4,pr,pr15134004,2015-05-15T01:10:45.335Z,"13km W of Puerto Real, Puerto Rico",earthquake
2015-05-14T16:56:44.090Z,23.9228,122.4961,26.64,4.2,mb,,96,0.717,0.89,us,us10002903,2015-05-15T17:54:23.273Z,"79km SW of Yonakuni, Japan",earthquake
2015-05-14T16:34:27.190Z,51.4787,-178.6623,1.62,4.1,mb,,188,1.011,1.33,us,us100028zh,2015-05-15T16:26:32.745Z,"39km NE of Amatignak Island, Alaska",earthquake
2015-05-14T16:01:21.560Z,24.0797,61.2048,17.61,5.3,mb,,57,4.635,0.83,us,us100028z8,2015-05-15T15:02:26.953Z,"120km SSW of Jiwani, Pakistan",earthquake
2015-05-14T15:08:05.590Z,-28.6301,-71.4866,30.96,5.1,mww,,60,0.558,1.17,us,us100028yq,2015-05-15T17:07:56.040Z,"71km W of Vallenar, Chile",earthquake
2015-05-14T14:36:42.200Z,28.2685,85.6465,10,3.8,mb,,168,1.074,1.37,us,us1000294u,2015-05-15T01:30:41.924Z,"34km WNW of Chongdui, China",earthquake
2015-05-14T14:16:49.910Z,13.9925,-60.4004,69.19,4.6,mb,,75,0.31,0.76,us,us100028ye,2015-05-14T21:06:58.890Z,"53km E of Dennery, Saint Lucia",earthquake
